alert_id,zone_id,zone_name,date,month,temperature_mean,humidity_mean,rainfall,drought_risk,alert_type,severity,message,recommended_action
32,1,Nabeul,2025-02-12,2,13.7,84,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
33,1,Nabeul,2025-02-13,2,13.4,85,0.0,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
34,1,Nabeul,2025-02-13,2,13.4,85,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
35,1,Nabeul,2025-02-14,2,13.4,77,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
36,1,Nabeul,2025-02-16,2,12.7,70,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
37,1,Nabeul,2025-02-17,2,13.0,77,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
38,1,Nabeul,2025-02-18,2,13.0,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
39,1,Nabeul,2025-02-19,2,13.0,86,0.0,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
40,1,Nabeul,2025-02-19,2,13.0,86,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
41,1,Nabeul,2025-02-20,2,13.3,90,0.0,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
42,1,Nabeul,2025-02-20,2,13.3,90,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
43,1,Nabeul,2025-02-21,2,13.5,86,1.3,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
44,1,Nabeul,2025-02-22,2,14.1,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
45,1,Nabeul,2025-02-23,2,13.9,78,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
46,1,Nabeul,2025-02-24,2,13.8,86,0.9,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
47,1,Nabeul,2025-02-25,2,13.0,87,0.0,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
48,1,Nabeul,2025-02-25,2,13.0,87,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
49,1,Nabeul,2025-02-27,2,12.7,63,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
50,1,Nabeul,2025-02-28,2,13.3,77,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
51,1,Nabeul,2025-03-01,3,15.0,69,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
52,1,Nabeul,2025-03-03,3,14.8,81,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
53,1,Nabeul,2025-03-04,3,13.9,87,0.4,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
54,1,Nabeul,2025-03-04,3,13.9,87,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
55,1,Nabeul,2025-03-07,3,15.0,87,11.6,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
56,1,Nabeul,2025-03-08,3,15.0,87,0.4,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
57,1,Nabeul,2025-03-08,3,15.0,87,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
58,1,Nabeul,2025-03-09,3,15.9,86,0.0,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
59,1,Nabeul,2025-03-09,3,15.9,86,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
60,1,Nabeul,2025-03-11,3,16.4,82,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
61,1,Nabeul,2025-03-12,3,16.1,80,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
62,1,Nabeul,2025-03-13,3,16.3,80,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
63,1,Nabeul,2025-03-14,3,19.7,60,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
64,1,Nabeul,2025-03-15,3,17.0,71,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
65,1,Nabeul,2025-03-16,3,14.4,75,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
66,1,Nabeul,2025-03-17,3,15.3,84,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
67,1,Nabeul,2025-03-18,3,15.8,86,0.3,medium,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
68,1,Nabeul,2025-03-18,3,15.8,86,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
69,1,Nabeul,2025-03-19,3,15.3,83,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
70,1,Nabeul,2025-03-20,3,15.2,74,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
71,1,Nabeul,2025-03-22,3,17.6,80,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
72,1,Nabeul,2025-03-23,3,16.8,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
73,1,Nabeul,2025-03-24,3,16.2,75,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
74,1,Nabeul,2025-03-25,3,15.2,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
75,1,Nabeul,2025-03-26,3,14.3,67,0.2,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
76,1,Nabeul,2025-03-28,3,14.8,64,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
77,1,Nabeul,2025-03-29,3,14.4,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
78,1,Nabeul,2025-03-31,3,14.7,71,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
79,1,Nabeul,2025-04-01,4,14.1,59,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
80,1,Nabeul,2025-04-02,4,13.8,66,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
81,1,Nabeul,2025-04-03,4,15.0,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
82,1,Nabeul,2025-04-04,4,15.6,83,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
83,1,Nabeul,2025-04-05,4,16.8,82,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
84,1,Nabeul,2025-04-08,4,14.2,78,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
85,1,Nabeul,2025-04-09,4,15.3,81,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
86,1,Nabeul,2025-04-10,4,16.7,81,0.2,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
87,1,Nabeul,2025-04-11,4,15.3,77,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
88,1,Nabeul,2025-04-12,4,17.1,84,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
89,1,Nabeul,2025-04-13,4,17.7,81,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
90,1,Nabeul,2025-04-15,4,18.8,74,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
91,1,Nabeul,2025-04-17,4,15.6,57,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
92,1,Nabeul,2025-04-18,4,16.2,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
93,1,Nabeul,2025-04-19,4,17.6,77,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
94,1,Nabeul,2025-04-20,4,17.5,82,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
95,1,Nabeul,2025-04-21,4,14.2,88,18.1,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
96,1,Nabeul,2025-04-22,4,16.9,67,0.2,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
97,1,Nabeul,2025-04-23,4,16.8,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
98,1,Nabeul,2025-04-24,4,17.7,64,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
99,1,Nabeul,2025-04-25,4,17.6,68,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
100,1,Nabeul,2025-04-26,4,17.0,68,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
101,1,Nabeul,2025-04-30,4,16.6,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
102,1,Nabeul,2025-05-01,5,18.2,76,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
103,1,Nabeul,2025-05-02,5,19.0,73,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
104,1,Nabeul,2025-05-03,5,19.5,70,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
105,1,Nabeul,2025-05-04,5,19.6,77,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
106,1,Nabeul,2025-05-06,5,19.5,68,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
107,1,Nabeul,2025-05-08,5,19.2,74,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
108,1,Nabeul,2025-05-09,5,19.9,72,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
109,1,Nabeul,2025-05-10,5,19.3,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
110,1,Nabeul,2025-05-11,5,20.2,78,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
111,1,Nabeul,2025-05-13,5,19.5,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
112,1,Nabeul,2025-05-14,5,19.2,76,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
113,1,Nabeul,2025-05-18,5,20.8,75,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
114,1,Nabeul,2025-05-19,5,23.5,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
115,1,Nabeul,2025-05-20,5,23.4,65,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
116,1,Nabeul,2025-05-21,5,21.1,65,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
117,1,Nabeul,2025-05-23,5,20.3,65,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
118,1,Nabeul,2025-05-24,5,19.5,59,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
119,1,Nabeul,2025-05-26,5,20.5,59,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
120,1,Nabeul,2025-05-27,5,22.4,48,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
121,1,Nabeul,2025-05-28,5,21.8,54,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
122,1,Nabeul,2025-05-29,5,23.3,50,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
123,1,Nabeul,2025-05-30,5,22.6,62,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
124,1,Nabeul,2025-05-31,5,22.4,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
125,1,Nabeul,2025-06-01,6,21.6,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
126,1,Nabeul,2025-06-02,6,21.4,68,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
127,1,Nabeul,2025-06-03,6,21.3,80,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
128,1,Nabeul,2025-06-04,6,22.5,81,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
129,1,Nabeul,2025-06-05,6,22.5,80,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
130,1,Nabeul,2025-06-06,6,23.1,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
131,1,Nabeul,2025-06-07,6,25.0,56,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
132,1,Nabeul,2025-06-08,6,26.6,50,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
133,1,Nabeul,2025-06-09,6,25.9,52,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
134,1,Nabeul,2025-06-10,6,25.6,45,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
135,1,Nabeul,2025-06-11,6,23.5,69,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
136,1,Nabeul,2025-06-12,6,22.2,77,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
137,1,Nabeul,2025-06-13,6,24.8,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
138,1,Nabeul,2025-06-14,6,26.4,48,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
139,1,Nabeul,2025-06-15,6,26.9,47,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
140,1,Nabeul,2025-06-16,6,28.0,44,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
141,1,Nabeul,2025-06-17,6,28.0,40,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
142,1,Nabeul,2025-06-19,6,24.3,68,0.2,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
143,1,Nabeul,2025-06-21,6,26.8,54,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
144,1,Nabeul,2025-06-22,6,25.3,69,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
145,1,Nabeul,2025-06-23,6,25.9,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
146,1,Nabeul,2025-06-24,6,26.9,65,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
147,1,Nabeul,2025-06-25,6,27.3,62,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
148,1,Nabeul,2025-06-26,6,27.4,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
149,1,Nabeul,2025-06-27,6,28.1,65,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
150,1,Nabeul,2025-06-28,6,27.4,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
151,1,Nabeul,2025-06-29,6,27.8,64,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
152,1,Nabeul,2025-06-30,6,26.8,74,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
153,1,Nabeul,2025-07-01,7,26.8,65,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
154,1,Nabeul,2025-07-02,7,27.1,71,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
155,1,Nabeul,2025-07-03,7,27.9,70,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
156,1,Nabeul,2025-07-04,7,27.9,73,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
157,1,Nabeul,2025-07-05,7,27.8,75,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
158,1,Nabeul,2025-07-06,7,27.6,74,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
159,1,Nabeul,2025-07-07,7,29.1,63,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
160,1,Nabeul,2025-07-08,7,29.4,59,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
161,1,Nabeul,2025-07-09,7,27.1,54,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
162,1,Nabeul,2025-07-10,7,26.1,56,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
163,1,Nabeul,2025-07-11,7,25.1,60,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
164,1,Nabeul,2025-07-12,7,26.4,64,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
165,1,Nabeul,2025-07-13,7,27.9,70,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
166,1,Nabeul,2025-07-14,7,30.2,54,0.0,high,High drought risk,High,The zone is exposed to high drought risk.,Prioritize drought-adapted products and irrigation solutions.
167,1,Nabeul,2025-07-14,7,30.2,54,0.0,high,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
168,1,Nabeul,2025-07-15,7,28.0,62,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
169,1,Nabeul,2025-07-16,7,29.6,46,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
170,1,Nabeul,2025-07-17,7,29.3,47,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
