forecast_id,product_id,product_name,category,zone_id,zone_name,forecast_month,historical_quantity,predicted_quantity,stock_quantity,forecast_method,recommendation_note
64,13,Potassium Booster,Fertilizers,4,Kairouan,2026-06,6.0,5.0,36,Historical monthly mean,Stock level appears sufficient
65,13,Potassium Booster,Fertilizers,5,Gabes,2026-06,6.0,6.67,36,Historical monthly mean,Stock level appears sufficient
66,14,Nitrogen Booster,Soil treatment,1,Nabeul,2026-06,8.0,6.0,5,Historical monthly mean,Predicted demand exceeds available stock
67,14,Nitrogen Booster,Soil treatment,2,Sfax,2026-06,2.0,3.33,5,Historical monthly mean,Stock level appears sufficient
68,14,Nitrogen Booster,Soil treatment,3,Beja,2026-06,0.0,6.83,5,Historical monthly mean,Predicted demand exceeds available stock
69,14,Nitrogen Booster,Soil treatment,4,Kairouan,2026-06,2.0,2.92,5,Historical monthly mean,Stock level appears sufficient
70,14,Nitrogen Booster,Soil treatment,5,Gabes,2026-06,0.0,2.58,5,Historical monthly mean,Stock level appears sufficient
71,15,Citrus Growth Formula,Seeds,1,Nabeul,2026-06,21.0,8.67,152,Historical monthly mean,Stock level appears sufficient
72,15,Citrus Growth Formula,Seeds,2,Sfax,2026-06,2.0,3.5,152,Historical monthly mean,Stock level appears sufficient
73,15,Citrus Growth Formula,Seeds,3,Beja,2026-06,12.0,3.5,152,Historical monthly mean,Stock level appears sufficient
74,15,Citrus Growth Formula,Seeds,4,Kairouan,2026-06,0.0,4.67,152,Historical monthly mean,Stock level appears sufficient
75,15,Citrus Growth Formula,Seeds,5,Gabes,2026-06,4.0,5.58,152,Historical monthly mean,Stock level appears sufficient
76,16,Vegetable Root Stimulator,Soil treatment,1,Nabeul,2026-06,11.0,4.67,5,Historical monthly mean,Stock pressure expected
77,16,Vegetable Root Stimulator,Soil treatment,2,Sfax,2026-06,0.0,4.25,5,Historical monthly mean,Stock pressure expected
78,16,Vegetable Root Stimulator,Soil treatment,3,Beja,2026-06,9.0,5.5,5,Historical monthly mean,Predicted demand exceeds available stock
79,16,Vegetable Root Stimulator,Soil treatment,4,Kairouan,2026-06,3.0,8.75,5,Historical monthly mean,Predicted demand exceeds available stock
80,16,Vegetable Root Stimulator,Soil treatment,5,Gabes,2026-06,15.0,5.42,5,Historical monthly mean,Predicted demand exceeds available stock
81,17,Cereal Yield Enhancer,Soil treatment,1,Nabeul,2026-06,12.0,7.75,65,Historical monthly mean,Stock level appears sufficient
82,17,Cereal Yield Enhancer,Soil treatment,2,Sfax,2026-06,0.0,0.83,65,Historical monthly mean,Stock level appears sufficient
83,17,Cereal Yield Enhancer,Soil treatment,3,Beja,2026-06,12.0,6.67,65,Historical monthly mean,Stock level appears sufficient
84,17,Cereal Yield Enhancer,Soil treatment,4,Kairouan,2026-06,5.0,3.58,65,Historical monthly mean,Stock level appears sufficient
85,17,Cereal Yield Enhancer,Soil treatment,5,Gabes,2026-06,9.0,5.83,65,Historical monthly mean,Stock level appears sufficient
86,18,Palm Tree Fertilizer,Fungicides,1,Nabeul,2026-06,10.0,11.33,26,Historical monthly mean,Stock level appears sufficient
87,18,Palm Tree Fertilizer,Fungicides,2,Sfax,2026-06,11.0,4.75,26,Historical monthly mean,Stock level appears sufficient
88,18,Palm Tree Fertilizer,Fungicides,3,Beja,2026-06,11.0,6.5,26,Historical monthly mean,Stock level appears sufficient
89,18,Palm Tree Fertilizer,Fungicides,4,Kairouan,2026-06,12.0,5.33,26,Historical monthly mean,Stock level appears sufficient
90,18,Palm Tree Fertilizer,Fungicides,5,Gabes,2026-06,29.0,9.33,26,Historical monthly mean,Stock level appears sufficient
91,19,Salinity Control Product,Soil treatment,1,Nabeul,2026-06,19.0,9.92,51,Historical monthly mean,Stock level appears sufficient
92,19,Salinity Control Product,Soil treatment,2,Sfax,2026-06,0.0,4.83,51,Historical monthly mean,Stock level appears sufficient
93,19,Salinity Control Product,Soil treatment,3,Beja,2026-06,0.0,6.83,51,Historical monthly mean,Stock level appears sufficient
94,19,Salinity Control Product,Soil treatment,4,Kairouan,2026-06,0.0,2.92,51,Historical monthly mean,Stock level appears sufficient
95,19,Salinity Control Product,Soil treatment,5,Gabes,2026-06,12.0,4.83,51,Historical monthly mean,Stock level appears sufficient
96,20,Greenhouse Pest Control,Fungicides,1,Nabeul,2026-06,19.0,8.17,43,Historical monthly mean,Stock level appears sufficient
97,20,Greenhouse Pest Control,Fungicides,2,Sfax,2026-06,11.0,3.58,43,Historical monthly mean,Stock level appears sufficient
98,20,Greenhouse Pest Control,Fungicides,3,Beja,2026-06,13.0,8.17,43,Historical monthly mean,Stock level appears sufficient
99,20,Greenhouse Pest Control,Fungicides,4,Kairouan,2026-06,0.0,4.42,43,Historical monthly mean,Stock level appears sufficient
100,20,Greenhouse Pest Control,Fungicides,5,Gabes,2026-06,0.0,7.42,43,Historical monthly mean,Stock level appears sufficient
101,21,Aphid Control Solution,Pesticides,1,Nabeul,2026-06,8.0,8.33,111,Historical monthly mean,Stock level appears sufficient
102,21,Aphid Control Solution,Pesticides,2,Sfax,2026-06,4.0,3.83,111,Historical monthly mean,Stock level appears sufficient
103,21,Aphid Control Solution,Pesticides,3,Beja,2026-06,2.0,5.17,111,Historical monthly mean,Stock level appears sufficient
104,21,Aphid Control Solution,Pesticides,4,Kairouan,2026-06,11.0,5.58,111,Historical monthly mean,Stock level appears sufficient
105,21,Aphid Control Solution,Pesticides,5,Gabes,2026-06,0.0,5.0,111,Historical monthly mean,Stock level appears sufficient
106,22,Mildew Protection Spray,Climate-adapted products,1,Nabeul,2026-06,3.0,8.67,34,Historical monthly mean,Stock level appears sufficient
107,22,Mildew Protection Spray,Climate-adapted products,2,Sfax,2026-06,0.0,4.08,34,Historical monthly mean,Stock level appears sufficient
108,22,Mildew Protection Spray,Climate-adapted products,3,Beja,2026-06,0.0,7.25,34,Historical monthly mean,Stock level appears sufficient
109,22,Mildew Protection Spray,Climate-adapted products,4,Kairouan,2026-06,16.0,4.25,34,Historical monthly mean,Stock level appears sufficient
110,22,Mildew Protection Spray,Climate-adapted products,5,Gabes,2026-06,0.0,2.67,34,Historical monthly mean,Stock level appears sufficient
111,23,Seed Germination Booster,Irrigation products,1,Nabeul,2026-06,15.0,5.17,27,Historical monthly mean,Stock level appears sufficient
112,23,Seed Germination Booster,Irrigation products,2,Sfax,2026-06,0.0,5.92,27,Historical monthly mean,Stock level appears sufficient
113,23,Seed Germination Booster,Irrigation products,3,Beja,2026-06,0.0,12.33,27,Historical monthly mean,Stock level appears sufficient
114,23,Seed Germination Booster,Irrigation products,4,Kairouan,2026-06,11.0,7.5,27,Historical monthly mean,Stock level appears sufficient
115,23,Seed Germination Booster,Irrigation products,5,Gabes,2026-06,12.0,7.17,27,Historical monthly mean,Stock level appears sufficient
116,24,Foliar Nutrition Mix,Pesticides,1,Nabeul,2026-06,0.0,7.58,5,Historical monthly mean,Predicted demand exceeds available stock
117,24,Foliar Nutrition Mix,Pesticides,2,Sfax,2026-06,1.0,4.0,5,Historical monthly mean,Stock pressure expected
118,24,Foliar Nutrition Mix,Pesticides,3,Beja,2026-06,4.0,3.33,5,Historical monthly mean,Stock level appears sufficient
119,24,Foliar Nutrition Mix,Pesticides,4,Kairouan,2026-06,10.0,4.08,5,Historical monthly mean,Stock pressure expected
120,24,Foliar Nutrition Mix,Pesticides,5,Gabes,2026-06,0.0,5.0,5,Historical monthly mean,Stock pressure expected
121,25,Micro Elements Pack,Fertilizers,1,Nabeul,2026-06,11.0,10.17,65,Historical monthly mean,Stock level appears sufficient
122,25,Micro Elements Pack,Fertilizers,2,Sfax,2026-06,3.0,4.92,65,Historical monthly mean,Stock level appears sufficient
123,25,Micro Elements Pack,Fertilizers,3,Beja,2026-06,9.0,5.83,65,Historical monthly mean,Stock level appears sufficient
124,25,Micro Elements Pack,Fertilizers,4,Kairouan,2026-06,8.0,7.0,65,Historical monthly mean,Stock level appears sufficient
125,25,Micro Elements Pack,Fertilizers,5,Gabes,2026-06,21.0,8.42,65,Historical monthly mean,Stock level appears sufficient
126,26,Crop Stress Reducer,Climate-adapted products,1,Nabeul,2026-06,5.0,6.58,57,Historical monthly mean,Stock level appears sufficient
127,26,Crop Stress Reducer,Climate-adapted products,2,Sfax,2026-06,8.0,5.17,57,Historical monthly mean,Stock level appears sufficient
128,26,Crop Stress Reducer,Climate-adapted products,3,Beja,2026-06,15.0,4.92,57,Historical monthly mean,Stock level appears sufficient
129,26,Crop Stress Reducer,Climate-adapted products,4,Kairouan,2026-06,0.0,5.42,57,Historical monthly mean,Stock level appears sufficient
130,26,Crop Stress Reducer,Climate-adapted products,5,Gabes,2026-06,0.0,3.5,57,Historical monthly mean,Stock level appears sufficient
131,27,Irrigation Filter Pack,Fungicides,1,Nabeul,2026-06,0.0,13.92,6,Historical monthly mean,Predicted demand exceeds available stock
132,27,Irrigation Filter Pack,Fungicides,2,Sfax,2026-06,0.0,1.75,6,Historical monthly mean,Stock level appears sufficient
133,27,Irrigation Filter Pack,Fungicides,3,Beja,2026-06,0.0,7.75,6,Historical monthly mean,Predicted demand exceeds available stock
134,27,Irrigation Filter Pack,Fungicides,4,Kairouan,2026-06,16.0,3.83,6,Historical monthly mean,Stock level appears sufficient
135,27,Irrigation Filter Pack,Fungicides,5,Gabes,2026-06,13.0,4.5,6,Historical monthly mean,Stock pressure expected
136,28,Soil Moisture Sensor,Fertilizers,1,Nabeul,2026-06,0.0,5.83,57,Historical monthly mean,Stock level appears sufficient
137,28,Soil Moisture Sensor,Fertilizers,2,Sfax,2026-06,16.0,2.75,57,Historical monthly mean,Stock level appears sufficient
138,28,Soil Moisture Sensor,Fertilizers,3,Beja,2026-06,2.0,7.5,57,Historical monthly mean,Stock level appears sufficient
139,28,Soil Moisture Sensor,Fertilizers,4,Kairouan,2026-06,0.0,5.17,57,Historical monthly mean,Stock level appears sufficient
140,28,Soil Moisture Sensor,Fertilizers,5,Gabes,2026-06,0.0,5.67,57,Historical monthly mean,Stock level appears sufficient
141,29,Climate Smart Pack,Seeds,1,Nabeul,2026-06,8.0,5.5,14,Historical monthly mean,Stock level appears sufficient
142,29,Climate Smart Pack,Seeds,2,Sfax,2026-06,1.0,3.08,14,Historical monthly mean,Stock level appears sufficient
143,29,Climate Smart Pack,Seeds,3,Beja,2026-06,7.0,5.67,14,Historical monthly mean,Stock level appears sufficient
144,29,Climate Smart Pack,Seeds,4,Kairouan,2026-06,6.0,3.0,14,Historical monthly mean,Stock level appears sufficient
145,29,Climate Smart Pack,Seeds,5,Gabes,2026-06,2.0,4.83,14,Historical monthly mean,Stock level appears sufficient
146,30,Bio Stimulant Plus,Climate-adapted products,1,Nabeul,2026-06,14.0,6.58,70,Historical monthly mean,Stock level appears sufficient
147,30,Bio Stimulant Plus,Climate-adapted products,2,Sfax,2026-06,0.0,3.33,70,Historical monthly mean,Stock level appears sufficient
148,30,Bio Stimulant Plus,Climate-adapted products,3,Beja,2026-06,0.0,3.5,70,Historical monthly mean,Stock level appears sufficient
149,30,Bio Stimulant Plus,Climate-adapted products,4,Kairouan,2026-06,9.0,3.83,70,Historical monthly mean,Stock level appears sufficient
150,30,Bio Stimulant Plus,Climate-adapted products,5,Gabes,2026-06,0.0,3.83,70,Historical monthly mean,Stock level appears sufficient
