recommendation_id,product_id,product_name,category,zone_id,zone_name,forecast_month,forecast_method,drought_risk,humidity_mean,rainfall,weather_reference_period,predicted_quantity,stock_quantity,climate_score,stock_score,demand_score,final_score,priority,recommendation_reason
11,3,Tomato Seeds Premium,Irrigation products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,7.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
12,3,Tomato Seeds Premium,Irrigation products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.92,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
13,3,Tomato Seeds Premium,Irrigation products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
14,3,Tomato Seeds Premium,Irrigation products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.67,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
15,3,Tomato Seeds Premium,Irrigation products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,3.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
16,4,Wheat Seeds Resistant,Seeds,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,4.25,13,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
17,4,Wheat Seeds Resistant,Seeds,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,5.75,13,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
18,4,Wheat Seeds Resistant,Seeds,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,4.42,13,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
19,4,Wheat Seeds Resistant,Seeds,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,6.67,13,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
20,4,Wheat Seeds Resistant,Seeds,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.33,13,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
21,5,Olive Tree Nutrient Pack,Irrigation products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,11.25,122,35,20,15,70,High,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is commercially relevant
22,5,Olive Tree Nutrient Pack,Irrigation products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,2.08,122,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
23,5,Olive Tree Nutrient Pack,Irrigation products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,4.75,122,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
24,5,Olive Tree Nutrient Pack,Irrigation products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.25,122,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
25,5,Olive Tree Nutrient Pack,Irrigation products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.0,122,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
26,6,Anti-Fungal Treatment,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.17,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
27,6,Anti-Fungal Treatment,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.5,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
28,6,Anti-Fungal Treatment,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,8.08,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
29,6,Anti-Fungal Treatment,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.5,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
30,6,Anti-Fungal Treatment,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.33,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
31,7,Copper Fungicide,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,5.08,158,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
32,7,Copper Fungicide,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.08,158,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
33,7,Copper Fungicide,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.25,158,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
34,7,Copper Fungicide,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.5,158,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
35,7,Copper Fungicide,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,3.08,158,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
36,8,Drip Irrigation Kit,Irrigation products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,7.0,43,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
37,8,Drip Irrigation Kit,Irrigation products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.42,43,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
38,8,Drip Irrigation Kit,Irrigation products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.42,43,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
39,8,Drip Irrigation Kit,Irrigation products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.0,43,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
40,8,Drip Irrigation Kit,Irrigation products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,6.33,43,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
41,9,Water Retention Granules,Pesticides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,7.08,188,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
42,9,Water Retention Granules,Pesticides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.58,188,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
43,9,Water Retention Granules,Pesticides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.0,188,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
44,9,Water Retention Granules,Pesticides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.58,188,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
45,9,Water Retention Granules,Pesticides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,2.25,188,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
46,10,Soil PH Corrector,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,10.67,198,0,20,15,35,Medium,stock availability is sufficient; predicted demand is commercially relevant
47,10,Soil PH Corrector,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.42,198,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
48,10,Soil PH Corrector,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.25,198,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
49,10,Soil PH Corrector,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.08,198,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
50,10,Soil PH Corrector,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,7.5,198,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
51,11,Drought Shield Bio,Fungicides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.58,218,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
52,11,Drought Shield Bio,Fungicides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,2.17,218,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
53,11,Drought Shield Bio,Fungicides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.67,218,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
54,11,Drought Shield Bio,Fungicides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.0,218,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
55,11,Drought Shield Bio,Fungicides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,2.42,218,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
56,12,Humidity Control Spray,Fungicides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,10.83,143,0,20,15,35,Medium,stock availability is sufficient; predicted demand is commercially relevant
57,12,Humidity Control Spray,Fungicides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.25,143,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
58,12,Humidity Control Spray,Fungicides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,8.0,143,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
59,12,Humidity Control Spray,Fungicides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.0,143,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
60,12,Humidity Control Spray,Fungicides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,7.17,143,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
61,13,Potassium Booster,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.58,36,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
62,13,Potassium Booster,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,5.5,36,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
63,13,Potassium Booster,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.42,36,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
64,13,Potassium Booster,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.0,36,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
65,13,Potassium Booster,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,6.67,36,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
66,14,Nitrogen Booster,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,6.0,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
67,14,Nitrogen Booster,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.33,5,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
68,14,Nitrogen Booster,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.83,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
69,14,Nitrogen Booster,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,2.92,5,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
70,14,Nitrogen Booster,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,2.58,5,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
71,15,Citrus Growth Formula,Seeds,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.67,152,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
72,15,Citrus Growth Formula,Seeds,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.5,152,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
73,15,Citrus Growth Formula,Seeds,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.5,152,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
74,15,Citrus Growth Formula,Seeds,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.67,152,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
75,15,Citrus Growth Formula,Seeds,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.58,152,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
76,16,Vegetable Root Stimulator,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,4.67,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
77,16,Vegetable Root Stimulator,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.25,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
78,16,Vegetable Root Stimulator,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.5,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
79,16,Vegetable Root Stimulator,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,8.75,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
80,16,Vegetable Root Stimulator,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.42,5,35,-15,30,50,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
81,17,Cereal Yield Enhancer,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,7.75,65,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
82,17,Cereal Yield Enhancer,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,0.83,65,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
83,17,Cereal Yield Enhancer,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.67,65,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
84,17,Cereal Yield Enhancer,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,3.58,65,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
85,17,Cereal Yield Enhancer,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.83,65,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
86,18,Palm Tree Fertilizer,Fungicides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,11.33,26,0,-15,15,0,Low,"stock is low, recommendation priority reduced; predicted demand is commercially relevant"
87,18,Palm Tree Fertilizer,Fungicides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.75,26,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
88,18,Palm Tree Fertilizer,Fungicides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.5,26,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
89,18,Palm Tree Fertilizer,Fungicides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.33,26,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
90,18,Palm Tree Fertilizer,Fungicides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,9.33,26,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
91,19,Salinity Control Product,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,9.92,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
92,19,Salinity Control Product,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
93,19,Salinity Control Product,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
94,19,Salinity Control Product,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,2.92,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
95,19,Salinity Control Product,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.83,51,35,10,5,50,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
96,20,Greenhouse Pest Control,Fungicides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.17,43,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
97,20,Greenhouse Pest Control,Fungicides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.58,43,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
98,20,Greenhouse Pest Control,Fungicides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,8.17,43,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
99,20,Greenhouse Pest Control,Fungicides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.42,43,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
100,20,Greenhouse Pest Control,Fungicides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,7.42,43,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
101,21,Aphid Control Solution,Pesticides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.33,111,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
102,21,Aphid Control Solution,Pesticides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.83,111,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
103,21,Aphid Control Solution,Pesticides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.17,111,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
104,21,Aphid Control Solution,Pesticides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.58,111,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
105,21,Aphid Control Solution,Pesticides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.0,111,0,20,5,25,Low,stock availability is sufficient; predicted demand is limited but present
106,22,Mildew Protection Spray,Climate-adapted products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,8.67,34,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
107,22,Mildew Protection Spray,Climate-adapted products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.08,34,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
108,22,Mildew Protection Spray,Climate-adapted products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,7.25,34,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
