line_id,order_id,product_id,product_name,category,quantity,unit_price,line_total
79,28,10,Soil PH Corrector,Fertilizers,6,209.25,1255.5
80,29,19,Salinity Control Product,Soil treatment,3,128.4,385.2
81,29,22,Mildew Protection Spray,Climate-adapted products,3,318.32,954.96
82,29,26,Crop Stress Reducer,Climate-adapted products,2,233.62,467.24
83,29,6,Anti-Fungal Treatment,Fertilizers,10,270.94,2709.4
84,30,30,Bio Stimulant Plus,Climate-adapted products,8,201.87,1614.96
85,30,19,Salinity Control Product,Soil treatment,11,128.4,1412.4
86,30,5,Olive Tree Nutrient Pack,Irrigation products,5,434.59,2172.95
87,30,8,Drip Irrigation Kit,Irrigation products,8,367.35,2938.8
88,31,29,Climate Smart Pack,Seeds,3,88.41,265.23
89,31,10,Soil PH Corrector,Fertilizers,2,209.25,418.5
90,31,22,Mildew Protection Spray,Climate-adapted products,8,318.32,2546.56
91,31,18,Palm Tree Fertilizer,Fungicides,6,215.47,1292.82
92,32,23,Seed Germination Booster,Irrigation products,5,440.06,2200.3
93,32,9,Water Retention Granules,Pesticides,4,54.31,217.24
94,32,15,Citrus Growth Formula,Seeds,7,175.8,1230.6
95,32,28,Soil Moisture Sensor,Fertilizers,8,195.3,1562.4
96,33,19,Salinity Control Product,Soil treatment,5,128.4,642.0
97,33,10,Soil PH Corrector,Fertilizers,1,209.25,209.25
98,33,23,Seed Germination Booster,Irrigation products,11,440.06,4840.66
99,34,30,Bio Stimulant Plus,Climate-adapted products,10,201.87,2018.7
100,35,20,Greenhouse Pest Control,Fungicides,6,448.57,2691.42
101,35,26,Crop Stress Reducer,Climate-adapted products,4,233.62,934.48
102,36,21,Aphid Control Solution,Pesticides,11,122.98,1352.78
103,36,4,Wheat Seeds Resistant,Seeds,11,222.64,2449.04
104,37,19,Salinity Control Product,Soil treatment,6,128.4,770.4
105,38,24,Foliar Nutrition Mix,Pesticides,4,101.26,405.04
106,38,14,Nitrogen Booster,Soil treatment,3,186.07,558.21
107,38,6,Anti-Fungal Treatment,Fertilizers,9,270.94,2438.46
108,39,27,Irrigation Filter Pack,Fungicides,8,169.8,1358.4
109,39,6,Anti-Fungal Treatment,Fertilizers,5,270.94,1354.7
110,39,9,Water Retention Granules,Pesticides,12,54.31,651.72
111,40,5,Olive Tree Nutrient Pack,Irrigation products,4,434.59,1738.36
112,41,1,NPK Fertilizer 20-20-20,Fertilizers,8,449.96,3599.68
113,41,9,Water Retention Granules,Pesticides,6,54.31,325.86
114,41,18,Palm Tree Fertilizer,Fungicides,11,215.47,2370.17
115,41,4,Wheat Seeds Resistant,Seeds,12,222.64,2671.68
116,42,4,Wheat Seeds Resistant,Seeds,8,222.64,1781.12
117,42,22,Mildew Protection Spray,Climate-adapted products,1,318.32,318.32
118,42,8,Drip Irrigation Kit,Irrigation products,10,367.35,3673.5
119,43,21,Aphid Control Solution,Pesticides,11,122.98,1352.78
120,43,3,Tomato Seeds Premium,Irrigation products,8,89.76,718.08
121,44,2,Organic Compost Mix,Soil treatment,8,42.11,336.88
122,44,10,Soil PH Corrector,Fertilizers,2,209.25,418.5
123,45,13,Potassium Booster,Fertilizers,6,143.54,861.24
124,45,15,Citrus Growth Formula,Seeds,11,175.8,1933.8
125,46,29,Climate Smart Pack,Seeds,11,88.41,972.51
126,46,14,Nitrogen Booster,Soil treatment,2,186.07,372.14
127,47,2,Organic Compost Mix,Soil treatment,4,42.11,168.44
128,47,23,Seed Germination Booster,Irrigation products,8,440.06,3520.48
129,47,12,Humidity Control Spray,Fungicides,8,210.12,1680.96
130,48,18,Palm Tree Fertilizer,Fungicides,6,215.47,1292.82
131,48,29,Climate Smart Pack,Seeds,1,88.41,88.41
132,48,21,Aphid Control Solution,Pesticides,7,122.98,860.86
133,49,3,Tomato Seeds Premium,Irrigation products,11,89.76,987.36
134,49,22,Mildew Protection Spray,Climate-adapted products,10,318.32,3183.2
135,49,7,Copper Fungicide,Soil treatment,1,109.29,109.29
136,49,21,Aphid Control Solution,Pesticides,1,122.98,122.98
137,50,3,Tomato Seeds Premium,Irrigation products,9,89.76,807.84
138,50,27,Irrigation Filter Pack,Fungicides,4,169.8,679.2
139,51,11,Drought Shield Bio,Fungicides,3,99.86,299.58
140,51,25,Micro Elements Pack,Fertilizers,10,439.08,4390.8
141,52,5,Olive Tree Nutrient Pack,Irrigation products,5,434.59,2172.95
142,52,18,Palm Tree Fertilizer,Fungicides,3,215.47,646.41
143,53,1,NPK Fertilizer 20-20-20,Fertilizers,4,449.96,1799.84
144,53,12,Humidity Control Spray,Fungicides,10,210.12,2101.2
145,54,5,Olive Tree Nutrient Pack,Irrigation products,12,434.59,5215.08
146,55,16,Vegetable Root Stimulator,Soil treatment,8,399.05,3192.4
147,56,17,Cereal Yield Enhancer,Soil treatment,12,197.73,2372.76
148,56,8,Drip Irrigation Kit,Irrigation products,11,367.35,4040.85
149,56,20,Greenhouse Pest Control,Fungicides,9,448.57,4037.13
150,56,2,Organic Compost Mix,Soil treatment,5,42.11,210.55
151,57,16,Vegetable Root Stimulator,Soil treatment,7,399.05,2793.35
152,58,3,Tomato Seeds Premium,Irrigation products,3,89.76,269.28
153,58,29,Climate Smart Pack,Seeds,2,88.41,176.82
154,58,11,Drought Shield Bio,Fungicides,3,99.86,299.58
155,58,20,Greenhouse Pest Control,Fungicides,5,448.57,2242.85
156,59,13,Potassium Booster,Fertilizers,5,143.54,717.7
157,59,20,Greenhouse Pest Control,Fungicides,8,448.57,3588.56
158,59,17,Cereal Yield Enhancer,Soil treatment,9,197.73,1779.57
159,60,28,Soil Moisture Sensor,Fertilizers,11,195.3,2148.3
160,61,14,Nitrogen Booster,Soil treatment,8,186.07,1488.56
161,61,11,Drought Shield Bio,Fungicides,7,99.86,699.02
162,62,22,Mildew Protection Spray,Climate-adapted products,3,318.32,954.96
163,62,9,Water Retention Granules,Pesticides,11,54.31,597.41
164,62,12,Humidity Control Spray,Fungicides,8,210.12,1680.96
165,63,14,Nitrogen Booster,Soil treatment,2,186.07,372.14
166,64,22,Mildew Protection Spray,Climate-adapted products,6,318.32,1909.92
167,64,4,Wheat Seeds Resistant,Seeds,11,222.64,2449.04
168,64,14,Nitrogen Booster,Soil treatment,7,186.07,1302.49
169,65,4,Wheat Seeds Resistant,Seeds,4,222.64,890.56
170,65,19,Salinity Control Product,Soil treatment,3,128.4,385.2
171,65,17,Cereal Yield Enhancer,Soil treatment,11,197.73,2175.03
172,66,28,Soil Moisture Sensor,Fertilizers,2,195.3,390.6
173,66,18,Palm Tree Fertilizer,Fungicides,5,215.47,1077.35
174,66,12,Humidity Control Spray,Fungicides,10,210.12,2101.2
175,67,20,Greenhouse Pest Control,Fungicides,11,448.57,4934.27
176,68,30,Bio Stimulant Plus,Climate-adapted products,1,201.87,201.87
177,68,11,Drought Shield Bio,Fungicides,3,99.86,299.58
178,68,12,Humidity Control Spray,Fungicides,3,210.12,630.36
179,69,24,Foliar Nutrition Mix,Pesticides,1,101.26,101.26
180,69,21,Aphid Control Solution,Pesticides,2,122.98,245.96
181,70,11,Drought Shield Bio,Fungicides,12,99.86,1198.32
182,70,6,Anti-Fungal Treatment,Fertilizers,6,270.94,1625.64
183,70,12,Humidity Control Spray,Fungicides,10,210.12,2101.2
184,70,10,Soil PH Corrector,Fertilizers,10,209.25,2092.5
185,71,22,Mildew Protection Spray,Climate-adapted products,2,318.32,636.64
186,72,20,Greenhouse Pest Control,Fungicides,4,448.57,1794.28
187,72,15,Citrus Growth Formula,Seeds,9,175.8,1582.2
188,72,14,Nitrogen Booster,Soil treatment,2,186.07,372.14
189,72,9,Water Retention Granules,Pesticides,6,54.31,325.86
190,73,17,Cereal Yield Enhancer,Soil treatment,4,197.73,790.92
191,73,22,Mildew Protection Spray,Climate-adapted products,7,318.32,2228.24
192,73,10,Soil PH Corrector,Fertilizers,10,209.25,2092.5
193,73,2,Organic Compost Mix,Soil treatment,1,42.11,42.11
194,74,25,Micro Elements Pack,Fertilizers,5,439.08,2195.4
195,74,5,Olive Tree Nutrient Pack,Irrigation products,5,434.59,2172.95
196,75,6,Anti-Fungal Treatment,Fertilizers,12,270.94,3251.28
197,75,5,Olive Tree Nutrient Pack,Irrigation products,4,434.59,1738.36
198,75,13,Potassium Booster,Fertilizers,9,143.54,1291.86
199,75,18,Palm Tree Fertilizer,Fungicides,9,215.47,1939.23
200,76,14,Nitrogen Booster,Soil treatment,1,186.07,186.07
201,77,19,Salinity Control Product,Soil treatment,7,128.4,898.8
202,77,13,Potassium Booster,Fertilizers,5,143.54,717.7
203,77,23,Seed Germination Booster,Irrigation products,2,440.06,880.12
204,77,21,Aphid Control Solution,Pesticides,7,122.98,860.86
205,78,27,Irrigation Filter Pack,Fungicides,2,169.8,339.6
206,78,23,Seed Germination Booster,Irrigation products,7,440.06,3080.42
207,78,30,Bio Stimulant Plus,Climate-adapted products,2,201.87,403.74
208,78,12,Humidity Control Spray,Fungicides,4,210.12,840.48
209,79,13,Potassium Booster,Fertilizers,5,143.54,717.7
210,80,3,Tomato Seeds Premium,Irrigation products,11,89.76,987.36
211,80,17,Cereal Yield Enhancer,Soil treatment,2,197.73,395.46
212,81,12,Humidity Control Spray,Fungicides,11,210.12,2311.32
213,81,24,Foliar Nutrition Mix,Pesticides,3,101.26,303.78
214,81,27,Irrigation Filter Pack,Fungicides,4,169.8,679.2
215,82,20,Greenhouse Pest Control,Fungicides,11,448.57,4934.27
216,82,5,Olive Tree Nutrient Pack,Irrigation products,2,434.59,869.18
217,83,22,Mildew Protection Spray,Climate-adapted products,11,318.32,3501.52
218,83,30,Bio Stimulant Plus,Climate-adapted products,11,201.87,2220.57
219,83,29,Climate Smart Pack,Seeds,10,88.41,884.1
220,83,19,Salinity Control Product,Soil treatment,6,128.4,770.4
221,84,15,Citrus Growth Formula,Seeds,5,175.8,879.0
222,84,21,Aphid Control Solution,Pesticides,10,122.98,1229.8
223,84,10,Soil PH Corrector,Fertilizers,1,209.25,209.25
224,84,26,Crop Stress Reducer,Climate-adapted products,6,233.62,1401.72
225,85,2,Organic Compost Mix,Soil treatment,2,42.11,84.22
226,85,12,Humidity Control Spray,Fungicides,11,210.12,2311.32
227,85,27,Irrigation Filter Pack,Fungicides,2,169.8,339.6
228,85,10,Soil PH Corrector,Fertilizers,10,209.25,2092.5
229,86,15,Citrus Growth Formula,Seeds,10,175.8,1758.0
230,87,2,Organic Compost Mix,Soil treatment,2,42.11,84.22
231,87,15,Citrus Growth Formula,Seeds,6,175.8,1054.8
232,88,8,Drip Irrigation Kit,Irrigation products,12,367.35,4408.2
233,89,12,Humidity Control Spray,Fungicides,5,210.12,1050.6
234,89,30,Bio Stimulant Plus,Climate-adapted products,7,201.87,1413.09
235,90,26,Crop Stress Reducer,Climate-adapted products,11,233.62,2569.82
236,91,10,Soil PH Corrector,Fertilizers,11,209.25,2301.75
237,91,9,Water Retention Granules,Pesticides,10,54.31,543.1
238,91,24,Foliar Nutrition Mix,Pesticides,3,101.26,303.78
239,91,28,Soil Moisture Sensor,Fertilizers,6,195.3,1171.8
240,92,10,Soil PH Corrector,Fertilizers,11,209.25,2301.75
241,92,21,Aphid Control Solution,Pesticides,7,122.98,860.86
242,92,23,Seed Germination Booster,Irrigation products,3,440.06,1320.18
243,93,18,Palm Tree Fertilizer,Fungicides,6,215.47,1292.82
244,93,13,Potassium Booster,Fertilizers,3,143.54,430.62
245,93,21,Aphid Control Solution,Pesticides,11,122.98,1352.78
246,94,17,Cereal Yield Enhancer,Soil treatment,3,197.73,593.19
247,94,12,Humidity Control Spray,Fungicides,4,210.12,840.48
248,94,1,NPK Fertilizer 20-20-20,Fertilizers,6,449.96,2699.76
249,94,10,Soil PH Corrector,Fertilizers,8,209.25,1674.0
250,95,3,Tomato Seeds Premium,Irrigation products,2,89.76,179.52
251,95,10,Soil PH Corrector,Fertilizers,9,209.25,1883.25
252,96,29,Climate Smart Pack,Seeds,3,88.41,265.23
253,96,25,Micro Elements Pack,Fertilizers,10,439.08,4390.8
254,96,20,Greenhouse Pest Control,Fungicides,7,448.57,3139.99
255,97,24,Foliar Nutrition Mix,Pesticides,1,101.26,101.26
256,97,15,Citrus Growth Formula,Seeds,7,175.8,1230.6
257,98,20,Greenhouse Pest Control,Fungicides,8,448.57,3588.56
258,98,10,Soil PH Corrector,Fertilizers,4,209.25,837.0
259,98,25,Micro Elements Pack,Fertilizers,9,439.08,3951.72
260,98,24,Foliar Nutrition Mix,Pesticides,4,101.26,405.04
261,99,12,Humidity Control Spray,Fungicides,10,210.12,2101.2
262,99,22,Mildew Protection Spray,Climate-adapted products,8,318.32,2546.56
263,100,6,Anti-Fungal Treatment,Fertilizers,10,270.94,2709.4
264,100,27,Irrigation Filter Pack,Fungicides,3,169.8,509.4
265,100,7,Copper Fungicide,Soil treatment,5,109.29,546.45
266,100,26,Crop Stress Reducer,Climate-adapted products,1,233.62,233.62
267,101,23,Seed Germination Booster,Irrigation products,9,440.06,3960.54
268,102,9,Water Retention Granules,Pesticides,9,54.31,488.79
269,102,15,Citrus Growth Formula,Seeds,3,175.8,527.4
270,103,27,Irrigation Filter Pack,Fungicides,6,169.8,1018.8
271,103,15,Citrus Growth Formula,Seeds,1,175.8,175.8
272,104,8,Drip Irrigation Kit,Irrigation products,6,367.35,2204.1
273,104,13,Potassium Booster,Fertilizers,4,143.54,574.16
274,104,3,Tomato Seeds Premium,Irrigation products,1,89.76,89.76
275,105,26,Crop Stress Reducer,Climate-adapted products,5,233.62,1168.1
276,105,5,Olive Tree Nutrient Pack,Irrigation products,8,434.59,3476.72
277,105,2,Organic Compost Mix,Soil treatment,12,42.11,505.32
278,106,29,Climate Smart Pack,Seeds,2,88.41,176.82
279,107,18,Palm Tree Fertilizer,Fungicides,10,215.47,2154.7
280,107,24,Foliar Nutrition Mix,Pesticides,9,101.26,911.34
281,108,10,Soil PH Corrector,Fertilizers,1,209.25,209.25
282,108,4,Wheat Seeds Resistant,Seeds,4,222.64,890.56
283,109,3,Tomato Seeds Premium,Irrigation products,8,89.76,718.08
284,109,4,Wheat Seeds Resistant,Seeds,10,222.64,2226.4
285,109,27,Irrigation Filter Pack,Fungicides,9,169.8,1528.2
286,109,29,Climate Smart Pack,Seeds,1,88.41,88.41
287,110,10,Soil PH Corrector,Fertilizers,1,209.25,209.25
288,110,14,Nitrogen Booster,Soil treatment,10,186.07,1860.7
289,111,22,Mildew Protection Spray,Climate-adapted products,9,318.32,2864.88
290,111,3,Tomato Seeds Premium,Irrigation products,6,89.76,538.56
291,112,13,Potassium Booster,Fertilizers,8,143.54,1148.32
292,113,9,Water Retention Granules,Pesticides,6,54.31,325.86
293,113,24,Foliar Nutrition Mix,Pesticides,2,101.26,202.52
294,113,1,NPK Fertilizer 20-20-20,Fertilizers,6,449.96,2699.76
295,114,5,Olive Tree Nutrient Pack,Irrigation products,9,434.59,3911.31
296,114,2,Organic Compost Mix,Soil treatment,6,42.11,252.66
297,114,12,Humidity Control Spray,Fungicides,11,210.12,2311.32
298,115,21,Aphid Control Solution,Pesticides,2,122.98,245.96
299,115,6,Anti-Fungal Treatment,Fertilizers,12,270.94,3251.28
300,115,26,Crop Stress Reducer,Climate-adapted products,8,233.62,1868.96
301,115,5,Olive Tree Nutrient Pack,Irrigation products,1,434.59,434.59
302,116,29,Climate Smart Pack,Seeds,6,88.41,530.46
303,116,2,Organic Compost Mix,Soil treatment,5,42.11,210.55
304,117,9,Water Retention Granules,Pesticides,4,54.31,217.24
305,117,2,Organic Compost Mix,Soil treatment,5,42.11,210.55
306,117,25,Micro Elements Pack,Fertilizers,6,439.08,2634.48
307,117,21,Aphid Control Solution,Pesticides,1,122.98,122.98
308,118,14,Nitrogen Booster,Soil treatment,12,186.07,2232.84
309,118,29,Climate Smart Pack,Seeds,8,88.41,707.28
310,118,13,Potassium Booster,Fertilizers,7,143.54,1004.78
311,119,12,Humidity Control Spray,Fungicides,5,210.12,1050.6
312,119,30,Bio Stimulant Plus,Climate-adapted products,2,201.87,403.74
313,119,26,Crop Stress Reducer,Climate-adapted products,12,233.62,2803.44
314,119,17,Cereal Yield Enhancer,Soil treatment,7,197.73,1384.11
315,120,18,Palm Tree Fertilizer,Fungicides,6,215.47,1292.82
316,120,10,Soil PH Corrector,Fertilizers,2,209.25,418.5
317,121,15,Citrus Growth Formula,Seeds,7,175.8,1230.6
318,121,20,Greenhouse Pest Control,Fungicides,3,448.57,1345.71
319,121,23,Seed Germination Booster,Irrigation products,12,440.06,5280.72
320,122,20,Greenhouse Pest Control,Fungicides,11,448.57,4934.27
321,122,14,Nitrogen Booster,Soil treatment,1,186.07,186.07
322,122,9,Water Retention Granules,Pesticides,2,54.31,108.62
323,123,1,NPK Fertilizer 20-20-20,Fertilizers,10,449.96,4499.6
324,123,5,Olive Tree Nutrient Pack,Irrigation products,11,434.59,4780.49
325,124,25,Micro Elements Pack,Fertilizers,6,439.08,2634.48
326,124,21,Aphid Control Solution,Pesticides,6,122.98,737.88
327,125,22,Mildew Protection Spray,Climate-adapted products,6,318.32,1909.92
328,125,15,Citrus Growth Formula,Seeds,6,175.8,1054.8
329,126,13,Potassium Booster,Fertilizers,5,143.54,717.7
330,126,11,Drought Shield Bio,Fungicides,4,99.86,399.44
331,126,21,Aphid Control Solution,Pesticides,2,122.98,245.96
332,127,30,Bio Stimulant Plus,Climate-adapted products,5,201.87,1009.35
333,127,18,Palm Tree Fertilizer,Fungicides,12,215.47,2585.64
334,127,4,Wheat Seeds Resistant,Seeds,8,222.64,1781.12
335,127,9,Water Retention Granules,Pesticides,4,54.31,217.24
336,128,7,Copper Fungicide,Soil treatment,2,109.29,218.58
337,128,4,Wheat Seeds Resistant,Seeds,8,222.64,1781.12
338,128,5,Olive Tree Nutrient Pack,Irrigation products,3,434.59,1303.77
339,128,28,Soil Moisture Sensor,Fertilizers,12,195.3,2343.6
340,129,22,Mildew Protection Spray,Climate-adapted products,2,318.32,636.64
341,129,12,Humidity Control Spray,Fungicides,9,210.12,1891.08
342,129,23,Seed Germination Booster,Irrigation products,9,440.06,3960.54
343,130,26,Crop Stress Reducer,Climate-adapted products,9,233.62,2102.58
344,130,12,Humidity Control Spray,Fungicides,4,210.12,840.48
345,131,26,Crop Stress Reducer,Climate-adapted products,1,233.62,233.62
346,131,16,Vegetable Root Stimulator,Soil treatment,6,399.05,2394.3
347,132,20,Greenhouse Pest Control,Fungicides,2,448.57,897.14
348,132,29,Climate Smart Pack,Seeds,2,88.41,176.82
349,133,17,Cereal Yield Enhancer,Soil treatment,10,197.73,1977.3
350,133,14,Nitrogen Booster,Soil treatment,2,186.07,372.14
351,133,25,Micro Elements Pack,Fertilizers,3,439.08,1317.24
352,133,27,Irrigation Filter Pack,Fungicides,6,169.8,1018.8
353,134,5,Olive Tree Nutrient Pack,Irrigation products,9,434.59,3911.31
354,134,29,Climate Smart Pack,Seeds,11,88.41,972.51
355,134,27,Irrigation Filter Pack,Fungicides,10,169.8,1698.0
356,135,27,Irrigation Filter Pack,Fungicides,2,169.8,339.6
357,136,11,Drought Shield Bio,Fungicides,12,99.86,1198.32
358,136,30,Bio Stimulant Plus,Climate-adapted products,4,201.87,807.48
359,137,9,Water Retention Granules,Pesticides,4,54.31,217.24
360,138,20,Greenhouse Pest Control,Fungicides,9,448.57,4037.13
361,138,18,Palm Tree Fertilizer,Fungicides,11,215.47,2370.17
362,138,3,Tomato Seeds Premium,Irrigation products,3,89.76,269.28
363,139,27,Irrigation Filter Pack,Fungicides,1,169.8,169.8
364,139,30,Bio Stimulant Plus,Climate-adapted products,1,201.87,201.87
365,139,19,Salinity Control Product,Soil treatment,2,128.4,256.8
366,140,21,Aphid Control Solution,Pesticides,10,122.98,1229.8
367,140,7,Copper Fungicide,Soil treatment,7,109.29,765.03
368,140,25,Micro Elements Pack,Fertilizers,10,439.08,4390.8
369,141,21,Aphid Control Solution,Pesticides,4,122.98,491.92
370,141,10,Soil PH Corrector,Fertilizers,11,209.25,2301.75
371,141,16,Vegetable Root Stimulator,Soil treatment,7,399.05,2793.35
372,142,6,Anti-Fungal Treatment,Fertilizers,8,270.94,2167.52
373,143,20,Greenhouse Pest Control,Fungicides,12,448.57,5382.84
374,143,5,Olive Tree Nutrient Pack,Irrigation products,6,434.59,2607.54
375,143,11,Drought Shield Bio,Fungicides,12,99.86,1198.32
376,144,17,Cereal Yield Enhancer,Soil treatment,6,197.73,1186.38
377,144,18,Palm Tree Fertilizer,Fungicides,4,215.47,861.88
378,144,4,Wheat Seeds Resistant,Seeds,8,222.64,1781.12
379,145,4,Wheat Seeds Resistant,Seeds,5,222.64,1113.2
380,145,2,Organic Compost Mix,Soil treatment,7,42.11,294.77
381,146,27,Irrigation Filter Pack,Fungicides,10,169.8,1698.0
382,146,11,Drought Shield Bio,Fungicides,12,99.86,1198.32
383,147,17,Cereal Yield Enhancer,Soil treatment,5,197.73,988.65
384,147,15,Citrus Growth Formula,Seeds,8,175.8,1406.4
385,147,16,Vegetable Root Stimulator,Soil treatment,1,399.05,399.05
386,147,29,Climate Smart Pack,Seeds,2,88.41,176.82
387,148,7,Copper Fungicide,Soil treatment,6,109.29,655.74
388,148,19,Salinity Control Product,Soil treatment,1,128.4,128.4
389,149,10,Soil PH Corrector,Fertilizers,2,209.25,418.5
390,149,18,Palm Tree Fertilizer,Fungicides,7,215.47,1508.29
391,149,1,NPK Fertilizer 20-20-20,Fertilizers,3,449.96,1349.88
392,149,28,Soil Moisture Sensor,Fertilizers,5,195.3,976.5
393,150,2,Organic Compost Mix,Soil treatment,6,42.11,252.66
394,150,19,Salinity Control Product,Soil treatment,9,128.4,1155.6
395,150,18,Palm Tree Fertilizer,Fungicides,5,215.47,1077.35
396,150,7,Copper Fungicide,Soil treatment,2,109.29,218.58
397,151,27,Irrigation Filter Pack,Fungicides,10,169.8,1698.0
398,151,20,Greenhouse Pest Control,Fungicides,2,448.57,897.14
399,151,22,Mildew Protection Spray,Climate-adapted products,3,318.32,954.96
400,152,18,Palm Tree Fertilizer,Fungicides,3,215.47,646.41
401,152,12,Humidity Control Spray,Fungicides,4,210.12,840.48
402,152,25,Micro Elements Pack,Fertilizers,10,439.08,4390.8
403,153,2,Organic Compost Mix,Soil treatment,3,42.11,126.33
404,154,20,Greenhouse Pest Control,Fungicides,9,448.57,4037.13
